p_error, d_error, i_error, stamp, 
0.7059207949755015, 0.010103276257570066, 0.04795589893635564, 6507726000000, 
0.7086626902694142, 0.036983552739176015, 0.048041407337725175, 6507760000000, 
0.7110379062833215, 0.050167757919803914, 0.048180751541306716, 6507794000000, 
0.7129465586430368, 0.04199870954531962, 0.048340002184437514, 6507828000000, 
0.7155681017804338, 0.044413681344238336, 0.04849652484535395, 6507862000000, 
0.7186598778243605, 0.056012933150232085, 0.0486692895336175, 6507896000000, 
0.7194539125091242, 0.03809618361461097, 0.04881678955458216, 6507930000000, 
0.7124501027499628, -0.060880147788212574, 0.048746114909891475, 6507964000000, 
0.6962031860863673, -0.22794829826232185, 0.048237096563830295, 6507998000000, 
0.6743087932550763, -0.3739344068126125, 0.04721380719407188, 6508032000000, 
0.6478707427791212, -0.4738474834043742, 0.045750008368066135, 6508066000000, 
0.6175138025320297, -0.5568136345396727, 0.043966382340834484, 6508100000000, 
0.5892506252663492, -0.5747070344389408, 0.042038397199756675, 6508134000000, 
0.5669303652887592, -0.495916051404613, 0.040203748643308466, 6508168000000, 
0.5462851094982715, -0.42123054674585997, 0.038589231601209945, 6508202000000, 
0.5242334878721935, -0.41859683741731074, 0.03711550982027575, 6508236000000, 
0.5019754235725619, -0.4344086855461726, 0.03564319780804194, 6508270000000, 
0.48118420245369553, -0.4220518178284112, 0.03416757724836488, 6508304000000, 
0.4620545330687631, -0.39138127944900747, 0.0327581876061538, 6508338000000, 
0.4438220945159399, -0.36629517586034926, 0.031440045480870364, 6508372000000, 
0.4259341877532009, -0.3541210325055116, 0.03018771181432582, 6508406000000, 
0.4081907029556816, -0.3493273682378264, 0.028966798331762644, 6508440000000, 
0.39023531460079086, -0.34998895247460826, 0.02775216465368593, 6508474000000, 
0.3725054953973218, -0.3498549760623509, 0.026541114293619338, 6508508000000, 
0.3554407221680551, -0.34112345522289944, 0.02534544806243314, 6508542000000, 
0.3385234140307446, -0.3331576604566393, 0.02417331164951209, 6508576000000, 
0.32244716227438075, -0.3234662734673957, 0.023038656098725428, 6508610000000, 
0.3076099931743024, -0.3030727534945315, 0.021954492908200365, 6508644000000, 
0.2931156579129449, -0.28756376824937085, 0.020925250436196904, 6508678000000, 
0.27843460021649324, -0.28603326429224635, 0.019927632362884785, 6508712000000, 
0.2649948152559475, -0.275694535852916, 0.018961688330068744, 6508746000000, 
0.25272259244450246, -0.25207850756853706, 0.018046112179450714, 6508780000000, 
0.24039037535403873, -0.24121999903832103, 0.017183776415901745, 6508814000000, 
0.2278766165501387, -0.24358799896435065, 0.01634243057857008, 6508848000000, 
0.21617242323113206, -0.2374309031657517, 0.01551396007640035, 6508882000000, 
0.1935114568786941, -0.22583016171789816, 0.021677056886438804, 6508950000000, 
0.17332952612888608, -0.2100142014815979, 0.026429941082821623, 6509018000000, 
0.16326604693718605, -0.19759259379023564, 0.018023639018122053, 6509052000000, 
0.14487644349482043, -0.18880667561649842, 0.01637004856307035, 6509120000000, 
0.1269771683447981, -0.17788665976660756, 0.019725424531215143, 6509188000000, 
0.11821154270637413, -0.1736790511121092, 0.013262215254563751, 6509222000000, 
0.11054984087200104, -0.16105223012546147, 0.00806340717692526, 6509256000000, 
0.09539796962856273, -0.1493886025107083, 0.01102141800903589, 6509324000000, 
0.08212503137926686, -0.13933730143497147, 0.01305930216521899, 6509392000000, 
0.0696644207944892, -0.12614484722585062, 0.011205829788371785, 6509460000000, 
0.06444242411337331, -0.11227747032847762, 0.007351883793762399, 6509494000000, 
0.05992767148634659, -0.09545832655041775, 0.004398115704935406, 6509528000000, 
0.05518618769418604, -0.09074741587438499, 0.0040699424213285346, 6509562000000, 
0.05112935077931369, -0.0862580461473814, 0.003768179425756517, 6509596000000, 
