p_error, d_error, i_error, stamp, 
0.7121658046508363, 0.0019675975953634944, 0.04841817657217824, 6204619000000, 
0.7125555597989002, 0.00578871473223857, 0.048431560107841505, 6204653000000, 
0.7131679020109145, 0.00982448392233499, 0.0484588233731081, 6204687000000, 
0.7140215629070414, 0.01437257949158105, 0.04850088722691541, 6204721000000, 
0.7150872401740944, 0.01881704081548928, 0.04855827198208648, 6204755000000, 
0.7163558355838175, 0.022885026242902996, 0.04863053180973895, 6204789000000, 
0.7162381060934575, 0.011282999209442026, 0.04868077345529771, 6204823000000, 
0.7094438039300833, -0.06776501621308056, 0.04855285556710012, 6204857000000, 
0.6928466320594378, -0.2293281768041152, 0.048019980287214194, 6204891000000, 
0.6695372368443093, -0.391240853782098, 0.046961427250900155, 6204925000000, 
0.6404066159401132, -0.5141178050914174, 0.0453965843231275, 6204959000000, 
0.6049669376440605, -0.6330421490220471, 0.04340464458304562, 6204993000000, 
0.5687458682294615, -0.7025563501044282, 0.04112004022777573, 6205027000000, 
0.5379413772623631, -0.6571133370754645, 0.03879749481774673, 6205061000000, 
0.5101906582050967, -0.5740706865133804, 0.03664923248379689, 6205095000000, 
0.4819493689571578, -0.54894125789417, 0.034681845166958006, 6205129000000, 
0.45518922547734875, -0.5392297326249796, 0.03280612972649768, 6205163000000, 
0.43025047749159784, -0.5068518771133328, 0.030994152296991703, 6205197000000, 
0.4049267272585838, -0.4927695903800484, 0.029248305751824025, 6205231000000, 
0.3801227000749873, -0.49144879820206433, 0.02754679784270383, 6205265000000, 
0.35630466183364207, -0.47668691593080137, 0.025870692687790166, 6205299000000, 
0.334155862855408, -0.45065526685862034, 0.024266553094651512, 6205333000000, 
0.31335549175885746, -0.4210702948508294, 0.022753163039485904, 6205367000000, 
0.29350193495236987, -0.3985679206180208, 0.0213296345635104, 6205401000000, 
0.27418921692069687, -0.3839830866486333, 0.019970390588990285, 6205435000000, 
0.2550100168530892, -0.37737174607137886, 0.01864789315779287, 6205469000000, 
0.23744929810324034, -0.36019528252408356, 0.017377366722545935, 6205503000000, 
0.22086276846375408, -0.3347769449934817, 0.01616863389085523, 6205537000000, 
0.20384630009748328, -0.3294411569191868, 0.015008922977728162, 6205571000000, 
0.1875521314245241, -0.32657487293362725, 0.013877920533010594, 6205605000000, 
0.17199215759295283, -0.31229551475029843, 0.012770186686605766, 6205639000000, 
0.1569237716613049, -0.3002780368943059, 0.011706609375385722, 6205673000000, 
0.12773156333716662, -0.29082833425212823, 0.015526014748108429, 6205741000000, 
0.11387977854239562, -0.2789008721258837, 0.013550193860389484, 6205775000000, 
0.10105994954185793, -0.2614864097579283, 0.007767215938885524, 6205809000000, 
0.08893911244750907, -0.24451633426359354, 0.00688792038538662, 6205843000000, 
0.07709866898160544, -0.234914515296593, 0.006054215235342043, 6205877000000, 
0.06662461838343847, -0.21876954964775097, 0.005273681062417868, 6205911000000, 
0.055943047753753805, -0.20740805125344744, 0.004525770262692749, 6205945000000, 
0.04549447139936458, -0.20715830376543032, 0.0038094084508286225, 6205979000000, 
0.036091206496150274, -0.19462589468238756, 0.0031173177813834233, 6206013000000, 
0.026872100918853725, -0.18257225961285148, 0.0024583763197923545, 6206047000000, 
0.01854174905934869, -0.17205350428236846, 0.0018474479467519944, 6206081000000, 
0.012020441680137495, -0.14560450234035519, 0.0013018439442557047, 6206115000000, 
0.007064232831465622, -0.11252466890081436, 0.0008528656009415743, 6206149000000, 
0.0024275219250244895, -0.09404823289326475, 0.00048760978589689244, 6206183000000, 
-0.0022949619316374736, -0.09175681140297152, 0.00016312730402999313, 6206217000000, 
-0.005857540473573897, -0.081226101947043, -0.0001297662242175693, 6206251000000, 
-0.009155163620193418, -0.06725687929956808, -0.0003923070965758419, 6206285000000, 
-0.012592418795839055, -0.06602821884573684, -0.0006257161188310778, 6206319000000, 
-0.015811771943636366, -0.06526086591610732, -0.0008513453654858271, 6206353000000, 
-0.019641012062374452, -0.050333070658493656, -0.0016335368952628958, 6206421000000, 
-0.021169153694192477, -0.026261675247824075, -0.0025668611757425496, 6206489000000, 
-0.021682717708585653, -0.01252583166962929, -0.002124758037815188, 6206523000000, 
-0.021874088272129777, -0.0069111233131107785, -0.001467121752631246, 6206557000000, 
-0.021806741014187114, -0.0012159147607986437, -0.0014815737318844577, 6206591000000, 
-0.02158155658554972, 0.0028679577115691694, -0.0014792807464289767, 6206625000000, 
-0.021209031861752825, 0.005859893651316561, -0.0014642061344604324, 6206659000000, 
-0.02000817080151651, 0.009538776999167187, -0.002135157814459848, 6206727000000, 
-0.01918680153996699, 0.013939213643800755, -0.0020537361429100354, 6206761000000, 
-0.018330345887732635, 0.01644926386062624, -0.0013039072131955658, 6206795000000, 
-0.01734018496569356, 0.01810408406150421, -0.001243432867583579, 6206829000000, 
-0.01632412161927066, 0.019668865377078192, -0.0011785454560477955, 6206863000000, 
-0.015284357718983843, 0.020155169085389394, -0.0011095030575561562, 6206897000000, 
-0.014212681077183875, 0.02070039747143906, -0.0010386129694166034, 6206931000000, 
