p_error, i_error, d_error, stamp, 
0.23695130277072796, 0.03371638590401342, -7.700685464772403e-08, 169781464460727622, 
0.23695128120769227, 0.022996023269473552, -1.9265869613049367e-07, 1697814644106927324, 
0.23695136262750205, 0.02589384681659427, 2.7467150778797566e-07, 1697814644170006786, 
0.236951378250569, 0.022154148705644906, 6.014589977084379e-07, 1697814644200423926, 
0.23695152783098028, 0.02261620039881091, 9.379414149147593e-07, 1697814644265453313, 
0.2369515342063826, 0.02756045280875784, 8.081715499829028e-07, 1697814644316736542, 
0.23694528502366097, 0.02215673772722844, -4.928897760818073e-05, 1697814644358963246, 
0.22615520654718557, 0.0322577372171644, -0.03586986337732773, 1697814644459371937, 
0.21357999644153203, 0.04230892862988863, -0.07873112177027357, 1697814644557057306, 
0.1949320591112188, 0.0404453010914495, -0.09952307934584959, 1697814644666856028, 
0.17715444907272626, 0.03573437469564178, -0.12108411686412855, 1697814644758770415, 
0.16373284422137935, 0.03141518520919322, -0.10923082051414716, 1697814644858724589, 
0.14766910720515936, 0.030898559099154267, -0.09375445663887466, 1697814644968012278, 
0.13260657963963318, 0.027291993277999912, -0.10101174470278379, 169781464564536347, 
0.1180916677418572, 0.0225514714569413, -0.10324704735583308, 1697814645158978092, 
0.10713213530245136, 0.02069705144964188, -0.08822474195841035, 1697814645257728160, 
0.09518181481825416, 0.01875152633817102, -0.07753505227532746, 1697814645355985539, 
0.08774473879312683, 0.018602236743779664, -0.06233514971927397, 1697814645469732173, 
0.08278367263883835, 0.016784022399152648, -0.040375269799520185, 1697814645558731103, 
0.07584936992023938, 0.014259805255327345, -0.04192817912707811, 1697814645657733804, 
0.0707954588264037, 0.013875228028115711, -0.040716784145397165, 1697814645754721471, 
0.06930983479568009, 0.014695053291442717, -0.021674556423695843, 1697814645869753546, 
0.06784505823550069, 0.013842367731673131, -0.00979119240539861, 1697814645958750594, 
0.06586485412142196, 0.012381742523020036, -0.012154260861955436, 169781464657740640, 
0.06338097244717056, 0.012422674085598913, -0.015202819547850242, 1697814646154750649, 
-0.09262891287793917, -0.01956021373705831, -0.4640748178872361, 1697814646268908116, 
-0.0986489130437389, -0.020125980516568394, -0.47787136120075235, 1697814646358766891, 
-0.10311734897423996, -0.019471807601288457, -0.03738071772905975, 1697814646457739654, 
-0.10836112501055672, -0.02114444239024618, -0.03322727331901374, 1697814646553896301, 
-0.11449266964486093, -0.024162284094787642, -0.03596886933496718, 1697814646668777480, 
-0.11666862190831973, -0.022737373770797164, -0.026856612368053864, 1697814646748784810, 
-0.12436168762204758, -0.023658671917035936, -0.03232857448365329, 1697814646859018320, 
-0.13084326907686972, -0.027579718265444045, -0.044749842456121035, 1697814646959569197, 
-0.12921660104607569, -0.026974449513755813, -0.016475737816062486, 169781464767772066, 
-0.12125512110681413, -0.024165242892211416, 0.0341453839308936, 1697814647158861752, 
-0.11329427557488903, -0.021522372366294305, 0.05597119267426062, 1697814647257740820, 
-0.10362567017744695, -0.020720323939131098, 0.05872304045695414, 1697814647358815334, 
-0.09402734534361612, -0.019843164254669907, 0.06098205811157329, 1697814647468776920, 
-0.08134678048211674, -0.016266509528533937, 0.0760592635963208, 1697814647558780341, 
-0.06967691903601048, -0.013167164350539594, 0.0862671951518542, 1697814647657751469, 
-0.06010410933209265, -0.012007683709159627, 0.07095681326090957, 1697814647758561751, 
-0.05148546342471849, -0.010864366111096565, 0.057720741389887066, 1697814647868769597, 
-0.04760444107875672, -0.00954357520704957, 0.04039921881406098, 1697814647959038324, 
-0.042715631499788076, -0.007902806169086342, 0.03153198247306701, 169781464853779297, 
