x, y, theta, stamp, 
-0.02240188792347908, 0.03323424607515335, 0.5313551181733341, 1697814486508827602, 
-0.02240188792347908, 0.03323424607515335, 0.5313551181733341, 1697814486556278903, 
-0.02240188792347908, 0.03323424607515335, 0.5313551181733341, 1697814486604019782, 
-0.02240188792347908, 0.03323424607515335, 0.5313551181733341, 1697814486652188068, 
-0.02240188792347908, 0.03323424607515335, 0.5313551181733341, 1697814486700181326, 
-0.02240188792347908, 0.03323424607515335, 0.5313551181733341, 1697814486749166340, 
-0.02240188792347908, 0.03323424607515335, 0.5313551181733341, 1697814486795982961, 
-0.022038675844669342, 0.033431753516197205, 0.5324765801583027, 1697814486843793207, 
-0.017930859699845314, 0.03590625897049904, 0.5371496678645333, 1697814486908917117, 
-0.012693547643721104, 0.038946036249399185, 0.5420146792429312, 1697814486956159362, 
-0.006211651489138603, 0.04303905367851257, 0.5486051835188223, 1697814487004133733, 
0.0016189906746149063, 0.048026327043771744, 0.5570180756681068, 1697814487052054242, 
0.010178007185459137, 0.05338083580136299, 0.5649128793444745, 1697814487100273120, 
0.03259165585041046, 0.06824095547199249, 0.5911463519345211, 1697814487244164562, 
0.04906688630580902, 0.07989928126335144, 0.6111035494153948, 1697814487356407960, 
0.06240832060575485, 0.08987481147050858, 0.6292970524703762, 1697814487452136675, 
0.0760958269238472, 0.10018271207809448, 0.6449590290271676, 1697814487548239771, 
0.08922567218542099, 0.11074163019657135, 0.6627338926999701, 1697814487643491694, 
0.10412832349538803, 0.12304051965475082, 0.6806073189956273, 1697814487756071840, 
0.1120772659778595, 0.12975569069385529, 0.6914700904900802, 1697814487852051507, 
0.1215912327170372, 0.13794589042663574, 0.7023025091473769, 1697814487948138855, 
0.13179895281791687, 0.1469564437866211, 0.7120721634317082, 1697814488043475260, 
0.14195747673511505, 0.1562112718820572, 0.7212461566405839, 1697814488157017145, 
0.15014222264289856, 0.16367976367473602, 0.7263691505211513, 1697814488252056747, 
0.15424387156963348, 0.16745544970035553, 0.7271760426495426, 1697814488300072085, 
0.16684837639331818, 0.17881116271018982, 0.727855515884869, 1697814488444656776, 
0.17747002840042114, 0.18833866715431213, 0.7292839189352159, 1697814488557071978, 
0.18639972805976868, 0.19643421471118927, 0.731433264376116, 1697814488652058076, 
0.19446809589862823, 0.2038365602493286, 0.7338196936026615, 1697814488748151533, 
0.20264363288879395, 0.21138355135917664, 0.7375582208710683, 1697814488844055811, 
0.21246859431266785, 0.22044993937015533, 0.7391887191312123, 1697814488957064341, 
0.21624423563480377, 0.22391048073768616, 0.7403501481897523, 1697814489004055717, 
0.22384214401245117, 0.2310929149389267, 0.7479348436824383, 1697814489100079204, 
0.23575304448604584, 0.24252498149871826, 0.7544743053887423, 1697814489244285213, 
0.24492807686328888, 0.25150659680366516, 0.759521024640937, 1697814489357078690, 
0.2585698068141937, 0.2641947567462921, 0.7504349256111067, 1697814489452106942, 
0.27670377492904663, 0.281255841255188, 0.7245905714236901, 1697814489548196979, 
0.29188552498817444, 0.2945837080478668, 0.7078282399922413, 1697814489660089456, 
0.3004377782344818, 0.3019377589225769, 0.7002972026108212, 1697814489756081453, 
0.3110564649105072, 0.3108130991458893, 0.6897721541709333, 1697814489852090971, 
0.32227540016174316, 0.3199731111526489, 0.6765598112493283, 1697814489948190918, 
0.33317944407463074, 0.3287680149078369, 0.6657118288808201, 1697814490045063857, 
0.3430499732494354, 0.33643630146980286, 0.6580355439475323, 1697814490157085869, 
0.3457277715206146, 0.3386305868625641, 0.6573387098593427, 1697814490205064685, 
0.35574644804000854, 0.3466309905052185, 0.6578693307572686, 1697814490348283779, 
0.3666518032550812, 0.3548148274421692, 0.6557371507699893, 1697814490460086060, 
0.3747164309024811, 0.3611721992492676, 0.6541555789493743, 1697814490556098214, 
0.37837159633636475, 0.3641156852245331, 0.6550248132064043, 1697814490604089135, 
0.38949641585350037, 0.3728216290473938, 0.6581029299177165, 1697814490748086853, 
0.3992311656475067, 0.38022637367248535, 0.6581028922293862, 1697814490860084597, 
0.4078799784183502, 0.38695093989372253, 0.656485428452902, 1697814490956108529, 
0.4165424704551697, 0.39362582564353943, 0.6560043613627241, 1697814491052101712, 
0.4256769120693207, 0.40051010251045227, 0.652559978215624, 1697814491148085519, 
0.4408499300479889, 0.4118613302707672, 0.6376142358885635, 1697814491244152418, 
0.464449018239975, 0.4290105700492859, 0.6091260378851184, 1697814491357096050, 
0.4772832691669464, 0.4381136894226074, 0.592710945059469, 1697814491453105154, 
0.4821101725101471, 0.44138121604919434, 0.5869253013198912, 1697814491500085848, 
0.4979787766933441, 0.4518560469150543, 0.5697877076361845, 1697814491644105100, 
0.5104165077209473, 0.459731787443161, 0.5551093192189553, 1697814491756110229, 
0.5210364460945129, 0.4662230610847473, 0.5419486068792582, 1697814491853109416, 
0.5292946100234985, 0.4711936116218567, 0.5357426293046141, 1697814491948090784, 
0.5360419154167175, 0.475407212972641, 0.5330530402866225, 1697814492060105025, 
0.5438914895057678, 0.47978559136390686, 0.5287463418440608, 1697814492156412449, 
0.5528387427330017, 0.4848376214504242, 0.5229411822578051, 1697814492253124690, 
0.5616603493690491, 0.4897856116294861, 0.5210645923098561, 1697814492348091992, 
0.5719696283340454, 0.4957864582538605, 0.517821007121351, 1697814492459674095, 
0.580228328704834, 0.500571072101593, 0.5171029625303052, 1697814492555522709, 
0.5885048508644104, 0.5054497718811035, 0.5180052681218287, 1697814492652576648, 
0.5979492664337158, 0.5107898712158203, 0.5180052681218287, 1697814492748158422, 
0.6084861159324646, 0.5167505145072937, 0.5157827288030838, 1697814492860283725, 
0.6174654364585876, 0.5220115184783936, 0.5117039700750997, 1697814492956294005, 
0.6343956589698792, 0.5312506556510925, 0.49905398751554847, 1697814493052661252, 
0.6563578248023987, 0.5429418683052063, 0.47870195524208825, 1697814493147568257, 
0.6717998385429382, 0.5508983731269836, 0.4634182050787048, 1697814493243825837, 
0.6830263733863831, 0.5565484166145325, 0.45311924270424303, 1697814493355688184, 
0.6948404312133789, 0.5621978044509888, 0.4417429942569871, 1697814493453347271, 
0.7062821984291077, 0.5675371885299683, 0.43155487994891045, 1697814493548300242, 
0.7174432873725891, 0.572595477104187, 0.42264133505642903, 1697814493644597561, 
0.7273131608963013, 0.5770086646080017, 0.41370114736605734, 1697814493756093734, 
