p_error, i_error, d_error, stamp, 
0.22706478844778444, 0.021614792213583416, 0.0, 1697814486604019782, 
0.22706478844778444, 0.02177759426092865, 0.0, 1697814486652188068, 
0.22706478844778444, 0.021834900645172312, 0.0, 1697814486700181326, 
0.22706478844778444, 0.022020350815711697, 0.0, 1697814486749166340, 
0.22706478844778444, 0.021753177984226862, 0.0, 1697814486795982961, 
0.2260615202678372, 0.021391493412202436, -0.006994792008580653, 1697814486843793207, 
0.22253767592944895, 0.025132104609293833, -0.025031405281075402, 1697814486908917117, 
0.2192491114000803, 0.02463617963519369, -0.04124017136877527, 1697814486956159362, 
0.21436785323542906, 0.02041138156426221, -0.057119293122462424, 16978144874133733, 
0.20802391660851705, 0.01994842852030375, -0.07804392953897403, 169781448752054242, 
0.2025209931548232, 0.019470244136535895, -0.08216947406927519, 1697814487100273120, 
0.18210225243569833, 0.034983721988142785, -0.08534254231243595, 1697814487244164562, 
0.16601762906283934, 0.0425228988571897, -0.09506835836977534, 1697814487356407960, 
0.15062655719215778, 0.0313261233731684, -0.10135976412741514, 1697814487452136675, 
0.13789576518130753, 0.02645279436396097, -0.09774938680443822, 1697814487548239771, 
0.12243603901115818, 0.023428750571264916, -0.09825790485393937, 1697814487643491694, 
0.10701948787485671, 0.02224208158835188, -0.09974733787264319, 1697814487756071840, 
0.09737142026318213, 0.020307765201633677, -0.07915348299496622, 1697814487852051507, 
0.08789007946883065, 0.016880785211691087, -0.06639872682986912, 1697814487948138855, 
0.07940242478564286, 0.015199510149767977, -0.06256755324721755, 169781448843475260, 
0.0712642831975353, 0.014885561612376906, -0.053567903978769725, 1697814488157017145, 
0.0669938911600414, 0.01397368543807759, -0.038869333981833905, 1697814488252056747, 
0.06659072750583939, 0.009526132527904203, -0.017776441354222825, 1697814488300072085, 
0.06745496965897613, 0.012991829112512919, -0.0008063828442324367, 1697814488444656776, 
0.06743491424241521, 0.017330765744764883, 0.001933002122872395, 1697814488557071978, 
0.06642438968664488, 0.01377650477271674, -0.003605687419483961, 1697814488652058076, 
-0.08114854924056103, -0.01550582867778199, -0.5154539096108358, 1697814488748151533, 
-0.08616889875068745, -0.01654423338757632, -0.5293568582429123, 1697814488844055811, 
-0.08938409734203678, -0.018673482766270243, -0.02693281350730718, 1697814488957064341, 
-0.09114487773324642, -0.01458317186970092, -0.021973741729752624, 16978144894055717, 
-0.10018439101087517, -0.014327856955158744, -0.043869617677270704, 1697814489100079204, 
-0.10926625120316602, -0.026248976456345965, -0.052372313536684846, 1697814489244285213, 
-0.11653567476563909, -0.029949608515432415, -0.042475782286862336, 1697814489357078690, 
-0.11016381901063255, -0.02289443534003273, 0.000867751304005159, 1697814489452106942, 
-0.0883716421071733, -0.016889437035643315, 0.09794712191100859, 1697814489548196979, 
-0.07409887305739715, -0.015411269903044325, 0.11811567915301395, 1697814489660089456, 
-0.06785115825118015, -0.014105202343337344, 0.06421456178553875, 1697814489756081453, 
-0.05866674044433062, -0.011264103045423253, 0.05358244093106595, 1697814489852090971, 
-0.04666067272189245, -0.008963956873142852, 0.07353155670377233, 1697814489948190918, 
-0.03689942657371714, -0.007120588837675289, 0.07523217667309418, 169781449045063857, 
-0.02986492641324523, -0.006238632339713468, 0.054519696612320846, 1697814490157085869, 
-0.029497035116286097, -0.004719550042150852, 0.02348782720658631, 1697814490205064685, 
-0.031009677163829852, -0.005928985463498995, -0.0009646494800348909, 1697814490348283779, 
-0.029270653037219985, -0.007464642184699767, 0.0016642418864188865, 1697814490460086060, 
-0.14313375323667155, -0.029745260058308323, -0.3901231191151262, 1697814490556098214, 
-0.1450123518306966, -0.02088222457660219, -0.4083562307710424, 1697814490604089135, 
-0.15094697065191132, -0.028980103456633394, -0.026786052872589033, 1697814490748086853, 
-0.15328391732723268, -0.039239987233354735, -0.02069309981182937, 1697814490860084597, 
-0.1539809441324793, -0.03203137407050071, -0.0093749673082203, 1697814490956108529, 
-0.1558142616434156, -0.029919004996623828, -0.00878576663333771, 169781449152101712, 
-0.15469629911071092, -0.02969812986741396, -0.0024836686307089643, 1697814491148085519, 
-0.1436757863311352, -0.027593036199999664, 0.0421214911866816, 1697814491244152418, 
-0.12106081467719226, -0.025302985158972547, 0.10498314688689425, 1697814491357096050, 
-0.10775496400565804, -0.022515694546563766, 0.11294061435365971, 1697814491453105154, 
-0.10296322255633983, -0.014722690394760077, 0.08019443652954543, 1697814491500085848, 
-0.08884403083204945, -0.016969205091343777, 0.06667689229253064, 1697814491644105100, 
-0.07617628682444111, -0.019502986681105988, 0.07037883780032157, 1697814491756110229, 
-0.0644639483472843, -0.013473243430983486, 0.07794881579336617, 1697814491853109416, 
-0.05931006629248625, -0.011386379443918303, 0.058336267263881685, 1697814491948090784, 
-0.057739192211396506, -0.011951759254966077, 0.022761970180038848, 169781449260105025, 
-0.053958583479208566, -0.011240741951430221, 0.017759836540218125, 1697814492156412449, 
-0.048870815356214625, -0.009433028408333403, 0.030620971072646566, 1697814492253124690, 
-0.1293224641541047, -0.024788470828692673, -0.26484791987570205, 1697814492348091992, 
-0.12823389863129153, -0.026486635463123583, -0.2791317685494406, 1697814492459674095, 
-0.12926363594087187, -0.02681324868524202, -0.00032921202700083967, 1697814492555522709, 
-0.1320695821262482, -0.025476559565796447, -0.013218191826757505, 1697814492652576648, 
-0.13401003611254497, -0.02581511885569585, -0.016404236612811113, 1697814492748158422, 
-0.1340260001049302, -0.02783814872379675, -0.00681462755043346, 1697814492860283725, 
-0.13215824994921987, -0.027506834401440604, 0.00643709042276145, 1697814492956294005, 
