p_error, i_error, d_error, stamp, 
0.249279778839949, 0.028344545957788982, 9.707342056807027e-07, 1697813225550853605, 
0.24724223922047783, 0.02566429874818593, -0.01366931280277475, 1697813225600540073, 
0.2451584768091727, 0.02203890592641069, -0.03094326768378956, 1697813225640750174, 
0.23978437624436644, 0.021793261742480998, -0.052622801508056316, 1697813225691426986, 
0.23441678625688678, 0.023411558647239317, -0.07171855106396102, 1697813225740621685, 
0.2264649107958413, 0.022424915546212367, -0.0895663839905731, 1697813225790448576, 
0.21977470743695393, 0.022323819419287683, -0.09629058046013021, 1697813225842197611, 
0.21308102097144754, 0.02344252381708368, -0.08138648199725435, 1697813225900465525, 
0.2047561674299625, 0.022168112590161083, -0.09379383030077133, 1697813225950463520, 
0.19679070031112833, 0.019874776414665247, -0.10756670402758561, 16978132261460015, 
0.19121811411068035, 0.01740148686135493, -0.09849572893475707, 169781322641466859, 
0.17522157338648414, 0.023655525157017493, -0.10256046473976244, 1697813226136463512, 
0.158545541230372, 0.030785257194048916, -0.11217863099578317, 1697813226235639820, 
0.14285579486413424, 0.029857749118224936, -0.10366675810329433, 1697813226345469728, 
0.12880225876318452, 0.02715673521480438, -0.09399475225413567, 1697813226446480340, 
0.1177365776221837, 0.02249301002066743, -0.08734468645708782, 1697813226536514945, 
0.10144148351617455, 0.01924394476178232, -0.09546491978961452, 1697813226636185223, 
0.08645313251269049, 0.018067846734265255, -0.10019851777363246, 1697813226745505021, 
0.0734209463599439, 0.015441985067764457, -0.0887117478038469, 1697813226846506471, 
0.06086677257056872, 0.011574633210314132, -0.08994386452070602, 1697813226935668434, 
0.048181341552543167, 0.009415125348144064, -0.0867320595189894, 169781322741916666, 
0.03904139271455831, 0.00838817147569792, -0.06785065147697665, 1697813227150521719, 
-0.11857029346217551, -0.02354520333036709, -0.6119886618709952, 1697813227240492571, 
-0.1251746233523059, -0.023807089043141626, -0.6059021744259702, 1697813227340712737, 
-0.1334018096698213, -0.028089897994705695, -0.046818781970735725, 1697813227451058665, 
-0.13881821875494682, -0.029141648342012598, -0.04298341968330497, 1697813227550639421, 
-0.14670493396556594, -0.027796854720118804, -0.04737526825120552, 1697813227640533238, 
-0.15444197569836304, -0.029350766968570318, -0.05499603060691268, 1697813227740683396, 
-0.15864497326128213, -0.031767048346057696, -0.03974890613268319, 1697813227840773105, 
