p_error, i_error, d_error, stamp, 
2.060376348272783, 0.14015636121562317, -0.010979530863196823, builtin_interfaces.msg.Time(sec=3468, nanosec=978000000), 
2.0581352653612193, 0.14008017866093866, -0.032951010833465945, builtin_interfaces.msg.Time(sec=3469, nanosec=12000000), 
2.0547738941128064, 0.139927804842261, -0.054926021176239216, builtin_interfaces.msg.Time(sec=3469, nanosec=46000000), 
2.0502924513145007, 0.1396992365112066, -0.07689033379135886, builtin_interfaces.msg.Time(sec=3469, nanosec=80000000), 
2.0446913613910556, 0.13939450802121625, -0.09884836001716528, builtin_interfaces.msg.Time(sec=3469, nanosec=114000000), 
2.037971281738114, 0.13901364880738987, -0.12079578016065427, builtin_interfaces.msg.Time(sec=3469, nanosec=148000000), 
2.030133002064854, 0.13855670129106454, -0.14272901300197796, builtin_interfaces.msg.Time(sec=3469, nanosec=182000000), 
2.0211774223959527, 0.1380237186738422, -0.16464567982511044, builtin_interfaces.msg.Time(sec=3469, nanosec=216000000), 
2.011392986013353, 0.137421277304081, -0.18372564756373308, builtin_interfaces.msg.Time(sec=3469, nanosec=250000000), 
2.001193279236075, 0.1367653102532953, -0.19592297215566404, builtin_interfaces.msg.Time(sec=3469, nanosec=284000000), 
1.9909754595867986, 0.13608073242962115, -0.2001718277113184, builtin_interfaces.msg.Time(sec=3469, nanosec=318000000), 
1.9807276189230578, 0.13538565077557443, -0.20064372855899126, builtin_interfaces.msg.Time(sec=3469, nanosec=352000000), 
1.9704618297316432, 0.134689071253474, -0.20111401818779773, builtin_interfaces.msg.Time(sec=3469, nanosec=386000000), 
1.9601828814553008, 0.13399110614916004, -0.20141899478193115, builtin_interfaces.msg.Time(sec=3469, nanosec=420000000), 
1.9498837247775287, 0.1332919778818614, -0.2017461270011225, builtin_interfaces.msg.Time(sec=3469, nanosec=454000000), 
1.9395631276396694, 0.13259160730111, -0.202154449172857, builtin_interfaces.msg.Time(sec=3469, nanosec=488000000), 
1.9292274208174103, 0.13188995019331778, -0.20251278392272956, builtin_interfaces.msg.Time(sec=3469, nanosec=522000000), 
1.9188864864402333, 0.1311873461243391, -0.2027121686219228, builtin_interfaces.msg.Time(sec=3469, nanosec=556000000), 
1.9085453443926887, 0.1304842763707409, -0.20276545514432867, builtin_interfaces.msg.Time(sec=3469, nanosec=590000000), 
1.8982005739068575, 0.12978100117410168, -0.2028030640527041, builtin_interfaces.msg.Time(sec=3469, nanosec=624000000), 
1.88784846099817, 0.12907747259741492, -0.20291062151488917, builtin_interfaces.msg.Time(sec=3469, nanosec=658000000), 
1.8774901354547238, 0.12837355452815438, -0.20304351423660508, builtin_interfaces.msg.Time(sec=3469, nanosec=692000000), 
1.8671318804021562, 0.12766933080871448, -0.2031037313334695, builtin_interfaces.msg.Time(sec=3469, nanosec=726000000), 
1.856772939869921, 0.1269649523298075, -0.2031097606353203, builtin_interfaces.msg.Time(sec=3469, nanosec=760000000), 
1.8464070355936852, 0.12626040206629063, -0.2031847530242247, builtin_interfaces.msg.Time(sec=3469, nanosec=794000000), 
1.836032078622915, 0.12555547322596114, -0.2033417769314327, builtin_interfaces.msg.Time(sec=3469, nanosec=828000000), 
1.8256504539483172, 0.12485003021173814, -0.20349589848400085, builtin_interfaces.msg.Time(sec=3469, nanosec=862000000), 
1.8048573037323863, 0.18586235443432303, -0.2037078410055219, builtin_interfaces.msg.Time(sec=3469, nanosec=930000000), 
1.7840360980294812, 0.2454593214588617, -0.2039919407786078, builtin_interfaces.msg.Time(sec=3469, nanosec=998000000), 
1.7736143037136856, 0.1823252619861688, -0.20423918791419768, builtin_interfaces.msg.Time(sec=3470, nanosec=32000000), 
1.7631861965747266, 0.12060562956187225, -0.20441079857602465, builtin_interfaces.msg.Time(sec=3470, nanosec=66000000), 
1.7527526394554167, 0.11989653783419346, -0.2045261201791064, builtin_interfaces.msg.Time(sec=3470, nanosec=100000000), 
1.7423109902694747, 0.11918699606279136, -0.20465888534560753, builtin_interfaces.msg.Time(sec=3470, nanosec=134000000), 
1.7318593918025227, 0.11847692182128805, -0.20483576130288253, builtin_interfaces.msg.Time(sec=3470, nanosec=168000000), 
1.7109391498848865, 0.17629372408653404, -0.20501685711539294, builtin_interfaces.msg.Time(sec=3470, nanosec=236000000), 
1.7004751655177452, 0.17487130604497528, -0.2051382875094053, builtin_interfaces.msg.Time(sec=3470, nanosec=270000000), 
1.6900065123860937, 0.11563220542987779, -0.20522193626267468, builtin_interfaces.msg.Time(sec=3470, nanosec=304000000), 
1.6690588296377118, 0.17202437725641276, -0.20531857358669128, builtin_interfaces.msg.Time(sec=3470, nanosec=372000000), 
1.6585812402785203, 0.1705999837982791, -0.20540618366061233, builtin_interfaces.msg.Time(sec=3470, nanosec=406000000), 
1.6376203134409397, 0.16881885303414385, -0.20547110566648819, builtin_interfaces.msg.Time(sec=3470, nanosec=474000000), 
1.6166541936550793, 0.22271612721431247, -0.20552473835020066, builtin_interfaces.msg.Time(sec=3470, nanosec=542000000), 
1.606172579443459, 0.16525520094234228, -0.20553602063284906, builtin_interfaces.msg.Time(sec=3470, nanosec=576000000), 
1.5852108421049806, 0.16347327891691965, -0.20551453804764272, builtin_interfaces.msg.Time(sec=3470, nanosec=644000000), 
1.5747279698167018, 0.16204778730641484, -0.20552687213252904, builtin_interfaces.msg.Time(sec=3470, nanosec=678000000), 
1.5642437659237411, 0.10708147176449628, -0.2055595704043088, builtin_interfaces.msg.Time(sec=3470, nanosec=712000000), 
