e, e_dot, e_int, stamp, 
p_error, i_error, d_error, stamp, 
-0.15469629911071092, -0.02969812986741396, -0.0024836686307089643, builtin_interfaces.msg.Time(sec=1697814491, nanosec=148085519), 
-0.1436757863311352, -0.027593036199999664, 0.0421214911866816, builtin_interfaces.msg.Time(sec=1697814491, nanosec=244152418), 
-0.12106081467719226, -0.025302985158972547, 0.10498314688689425, builtin_interfaces.msg.Time(sec=1697814491, nanosec=357096050), 
-0.10775496400565804, -0.022515694546563766, 0.11294061435365971, builtin_interfaces.msg.Time(sec=1697814491, nanosec=453105154), 
-0.10296322255633983, -0.014722690394760077, 0.08019443652954543, builtin_interfaces.msg.Time(sec=1697814491, nanosec=500085848), 
-0.08884403083204945, -0.016969205091343777, 0.06667689229253064, builtin_interfaces.msg.Time(sec=1697814491, nanosec=644105100), 
-0.07617628682444111, -0.019502986681105988, 0.07037883780032157, builtin_interfaces.msg.Time(sec=1697814491, nanosec=756110229), 
-0.0644639483472843, -0.013473243430983486, 0.07794881579336617, builtin_interfaces.msg.Time(sec=1697814491, nanosec=853109416), 
-0.05931006629248625, -0.011386379443918303, 0.058336267263881685, builtin_interfaces.msg.Time(sec=1697814491, nanosec=948090784), 
-0.057739192211396506, -0.011951759254966077, 0.022761970180038848, builtin_interfaces.msg.Time(sec=1697814492, nanosec=60105025), 
-0.053958583479208566, -0.011240741951430221, 0.017759836540218125, builtin_interfaces.msg.Time(sec=1697814492, nanosec=156412449), 
-0.048870815356214625, -0.009433028408333403, 0.030620971072646566, builtin_interfaces.msg.Time(sec=1697814492, nanosec=253124690), 
-0.1293224641541047, -0.024788470828692673, -0.26484791987570205, builtin_interfaces.msg.Time(sec=1697814492, nanosec=348091992), 
-0.12823389863129153, -0.026486635463123583, -0.2791317685494406, builtin_interfaces.msg.Time(sec=1697814492, nanosec=459674095), 
-0.12926363594087187, -0.02681324868524202, -0.00032921202700083967, builtin_interfaces.msg.Time(sec=1697814492, nanosec=555522709), 
-0.1320695821262482, -0.025476559565796447, -0.013218191826757505, builtin_interfaces.msg.Time(sec=1697814492, nanosec=652576648), 
-0.13401003611254497, -0.02581511885569585, -0.016404236612811113, builtin_interfaces.msg.Time(sec=1697814492, nanosec=748158422), 
-0.1340260001049302, -0.02783814872379675, -0.00681462755043346, builtin_interfaces.msg.Time(sec=1697814492, nanosec=860283725), 
-0.13215824994921987, -0.027506834401440604, 0.00643709042276145, builtin_interfaces.msg.Time(sec=1697814492, nanosec=956294005), 
-0.122923839045606, -0.023647784164939723, 0.03842628318712462, builtin_interfaces.msg.Time(sec=1697814493, nanosec=52661252), 
-0.10688114583518882, -0.02044361122252866, 0.08828704171874464, builtin_interfaces.msg.Time(sec=1697814493, nanosec=147568257), 
-0.09444038638639485, -0.01805365727079482, 0.09942679614154996, builtin_interfaces.msg.Time(sec=1697814493, nanosec=243825837), 
-0.08610561413488238, -0.017920294128041886, 0.06791788323504487, builtin_interfaces.msg.Time(sec=1697814493, nanosec=355688184), 
-0.07642858592106566, -0.01601342692077389, 0.0578663582545109, builtin_interfaces.msg.Time(sec=1697814493, nanosec=453347271), 
-0.06775010711076168, -0.013049487560324242, 0.0634958481592157, builtin_interfaces.msg.Time(sec=1697814493, nanosec=548300242), 
-0.06013142894029383, -0.011500153222945586, 0.05683795217055043, builtin_interfaces.msg.Time(sec=1697814493, nanosec=644597561), 
-0.052284537129287545, -0.010864386547698316, 0.049831443061248815, builtin_interfaces.msg.Time(sec=1697814493, nanosec=756093734), 
-0.04983771268938264, -0.010391000873981475, 0.03186765745534024, builtin_interfaces.msg.Time(sec=1697814493, nanosec=853094306), 
