e, e_dot, e_int, stamp, 
0.2449799113375818, 1.6963794915077676e-07, 0.0489959773761964, 80988000000, 
0.24497985993342794, -9.64191305500665e-08, 0.04899597734201179, 81090000000, 
0.244979883506761, -9.276940262277951e-08, 0.04899597698518472, 81192000000, 
0.2500570346165796, 0.016923915610505453, 0.04933445187045124, 81260000000, 
0.22844108214058495, -0.055129337887253514, 0.04823186668426171, 81362000000, 
0.21116212067891457, -0.12964971312555001, 0.04597734916240527, 81430000000, 
0.17940455116977472, -0.1634551032360341, 0.04126718359928495, 81532000000, 
0.15815444029308096, -0.1766922679527787, 0.03658140747611802, 81600000000, 
0.12391140945311008, -0.1849771390555488, 0.030764693394397715, 81702000000, 
0.09587885040960548, -0.20758529961158492, 0.025196313343719766, 81804000000, 
0.08002750978832837, -0.14627966554927235, 0.019987851310069592, 81872000000, 
0.06199270236643023, -0.11295382681058415, 0.01585993750429094, 81974000000, 
0.05177498766398786, -0.09417507374780171, 0.01291967998791643, 82042000000, 
-0.052767932934757955, -0.38253545100396064, 0.004066650473044009, 82144000000, 
-0.061228434604475135, -0.37667807422821004, -0.004148091991683016, 82212000000, 
-0.0737861092453545, -0.07006058770198849, -0.012518831785639173, 82314000000, 
-0.08515648702114081, -0.07976017472221893, -0.014678068724731362, 82416000000, 
-0.09286868639019857, -0.06360859048281357, -0.016787418843779593, 82484000000, 
0.12680678502709802, 0.7065442401607962, -0.003414559225616091, 82586000000, 
0.15663396243160388, 0.8316754960726748, 0.012704804071233556, 82688000000, 
0.17287530587409, 0.15356173615663993, 0.030421070222186125, 82756000000, 
0.1925368308062009, 0.11967622791532341, 0.03480307327412632, 82824000000, 
0.2240263762793685, 0.170503568017595, 0.039295900863977294, 82926000000, 
0.21483199956447835, 0.07431722919425815, 0.042093013776669845, 82994000000, 
0.05128668578943346, -0.5757989682997834, 0.032676337442218685, 83096000000, 
0.017099226151164548, -0.659109244711046, 0.018881194100338422, 83198000000, 
-0.010547589243206701, -0.20611425010880055, 0.003855888179826087, 83266000000, 
-0.039743110558285166, -0.1894744556981657, -0.0022127649100218212, 83334000000, 
-0.08276671139965158, -0.24073040718814961, -0.00887049408007623, 83436000000, 
-0.10598942196026989, -0.22082103800661576, -0.015233282927880442, 83504000000, 
-0.08996088286082787, -0.023980571537254303, -0.01858113441471662, 83572000000, 
0.08281952945523235, 0.6293631713850075, -0.007542051691057694, 83674000000, 
0.09466535737265497, 0.6154208007782761, 0.005834933597803963, 83742000000, 
0.1207464765034938, 0.12642315682753813, 0.019882090888758742, 83844000000, 
0.14375505138289224, 0.16363231336745757, 0.0239444590172694, 83912000000, 
0.16962556069815005, 0.16293028064885418, 0.028941805905635738, 84014000000, 
0.15350084586742235, 0.03248598161510038, 0.031125430529897642, 84082000000, 
-0.28977659133528344, -1.5313405067781114, 0.002223321015352597, 84184000000, 
-0.3181926905178304, -1.5723117879508424, -0.03029789573237943, 84252000000, 
-0.37230382546007323, -0.27509078041596596, -0.06535154048754581, 84354000000, 
-0.4110274447369584, -0.3094491807304267, -0.07343493071432414, 84422000000, 
-0.46806416291989356, -0.3192011248660677, -0.08342636220779502, 84524000000, 
-0.44054941138898285, -0.09840655550674815, -0.087976067936389, 84626000000, 
-0.3588090406611322, 0.36418374086253796, -0.08449484099800057, 84728000000, 
-0.3328738669634072, 0.3589184814185855, -0.07548215460090148, 84796000000, 
-0.2671470779454519, 0.30553987571893426, -0.06392199903799942, 84898000000, 
-0.18963161674175072, 0.4774741674055216, -0.05264350411004065, 85000000000, 
-0.1451606988871509, 0.40662126352767, -0.040129292904956905, 85068000000, 
-0.11522146497146064, 0.24803383923430022, -0.03000091870669082, 85170000000, 
-0.0904559316912616, 0.1823492239862977, -0.023389206369991544, 85238000000, 
-0.032444694781372976, 0.27592256730029224, -0.015874806096273016, 85340000000, 
-0.022144954781103385, 0.22770325636719405, -0.009669705416915864, 85442000000, 
-0.01615389459805637, 0.05430266727772202, -0.004716236277368849, 85510000000, 
0.2764358074086908, 0.995269207299314, 0.015875797201968734, 85578000000, 
0.30031665240843064, 1.0549018233549567, 0.037373237681271, 85680000000, 
0.314945617076021, 0.128366032224434, 0.05944653845954283, 85782000000, 
0.32564223449648666, 0.08441860696018673, 0.06272696693206255, 85850000000, 
0.3395613550322412, 0.08205245985406746, 0.06534328044031659, 85952000000, 
0.3102672694314756, -0.0512498835500369, 0.0650313905973469, 86020000000, 
0.29539241655729115, -0.14722979491650023, 0.0630147360680672, 86088000000, 
0.17308649054787006, -0.4572692629453517, 0.05191641176910912, 86190000000, 
0.13019336375705814, -0.55066350933411, 0.03991148472414796, 86292000000, 
0.10086403814858635, -0.24074150799761238, 0.026942926163567638, 86360000000, 
0.07088902588739154, -0.197681126232222, 0.02012976185286907, 86428000000, 
0.04385160273215746, -0.19004145138809628, 0.014373644451209025, 86496000000, 
0.02179509365606952, -0.1636464407710734, 0.009102381485041234, 86564000000, 
0.017118650873745894, -0.08910983952803857, 0.005517689817464858, 86666000000, 
-0.05402372568988456, -0.2527293978198469, -0.001007332077337943, 86734000000, 
-0.0672839450272571, -0.2813419863366766, -0.006945934656226384, 86870000000, 
-0.07072410652459224, -0.05566793611569226, -0.01280211848278226, 86938000000, 
-0.07333291947655848, -0.020163248164337955, -0.014089398068560521, 87040000000, 
-0.07567784725997373, -0.0165124691179383, -0.01464899155074163, 87108000000, 
-0.10808701269670096, -0.11584697740047491, -0.017139851962215548, 87210000000, 
-0.09311260467649339, -0.058115858055065535, -0.018458497642211205, 87312000000, 
