imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, x, y, stamp, 
-0.010839581489562988, -0.03256583213806152, -0.005419790744781494, -0.0, 0.0, -7.196215623395119e-09, 0.0, 0.0, 1700230671721486371, 
0.013042926788330078, 0.014532744884490967, 0.005659219364695954, 3.341579714641581e-13, -6.897958510598633e-05, -4.844302425865976e-09, 3.448974026261027e-06, 0.0, 1700230671831774820, 
-0.001263260841369629, -0.007609009742736816, 0.0013962258815217593, 3.918832777448756e-11, 0.00012122136450595859, 3.2327905179256806e-07, -1.4217500025806091e-05, -1.7832063304993637e-14, 1700230671932009634, 
0.0006047487258911133, 0.007617354393005371, 0.0009049103499327401, 6.347109998554846e-11, 9.120774604286485e-05, 6.95895938002009e-07, -1.0627565114012351e-05, 1.5185050290304084e-13, 1700230672041201347, 
-0.2648930549621582, 0.49226611852645874, -0.16326415255935278, -7.08866727216334e-07, -0.0027021245390400133, 0.00026233680830572444, 0.0002422978203628686, 7.835449817928193e-11, 1700230672138060604, 
0.21431773900985718, -0.23878204822540283, 0.07028038289407207, 0.0018417411660238288, 0.003628694000493305, 0.5075493182322489, 0.0007327208067727459, -3.082503005402237e-06, 1700230672230776042, 
0.25111931562423706, -0.24647533893585205, 0.18092519426433157, -0.04565546540764394, -0.049721429403461526, 0.918225118533408, -0.0029051109531022367, -6.443664725242663e-05, 1700230672330777139, 
0.14699548482894897, -0.03997385501861572, 0.16042375098326966, -0.005962245818114121, -0.006018966693631649, 0.990576310120217, -0.006370363506684998, -0.0004960774752988384, 1700230672440715018, 
0.19386506080627441, -0.0817604660987854, 0.1807072353934429, -0.009428671875675717, -0.00960513927661684, 0.9816278144585866, -0.007871194386674774, -0.0007593103086866533, 1700230672538023102, 
0.08670073747634888, -0.0698285698890686, 0.1224701697651884, -0.00150644593860877, -0.001477236992620451, 1.0197726878857167, -0.00903812287551694, -0.0011210373584419385, 1700230672630772071, 
0.3023526668548584, -0.06469964981079102, 0.233437699143534, 0.005304643693846085, 0.005281392107425422, 1.0044025487878419, -0.00955070108587567, -0.0013064243330841256, 1700230672730762096, 
-0.0768248438835144, -0.08308064937591553, 0.04147830354260815, 0.008811616454339918, 0.008700004256729902, 1.012828981954081, -0.00945040097631478, -0.0012577740745686643, 1700230672936903387, 
-0.3670075535774231, 0.06167083978652954, -0.2097602590902546, 0.0715373556226144, 0.064374112304511, 1.1112752170347433, -0.006818835013016071, 0.0004276765444128735, 1700230673030800260, 
