p_error, i_error, d_error, stamp, 
-2.5882131048100314, -0.17598403827488499, -0.003125621637964752, 626606000000, 
-2.588667450876451, -0.1760015632229508, -0.007579985211520685, 626640000000, 
-2.589668356877164, -0.17604177535144266, -0.014267177128749845, 626674000000, 
-2.5912196992035303, -0.17610992482436197, -0.025022042422347585, 626708000000, 
-2.5912460753396633, -0.17616837364552812, -0.015467828063719933, 626742000000, 
-2.584339802206912, -0.17604759307300238, 0.0674499705550823, 626776000000, 
-2.5680154557740646, -0.17552163022193454, 0.2277511722117518, 626810000000, 
-2.5453983935764453, -0.17448241610196824, 0.38177851598496754, 626844000000, 
-2.5171471092928086, -0.17295938172924857, 0.4987092792280004, 626878000000, 
-2.4813451691156274, -0.17099485523165733, 0.6279727888315475, 626912000000, 
-2.438209026495474, -0.16856522957782197, 0.7739027725228894, 626946000000, 
-2.388894205261784, -0.16565816375311876, 0.9063819985670915, 626980000000, 
-2.333057360625771, -0.16229697342734867, 1.0308986849970854, 62714000000, 
-2.2721778173984513, -0.15853359935448283, 1.144278312385616, 62748000000, 
-2.2120880447849647, -0.1545259930503416, 1.1859736847137892, 62782000000, 
-2.1547568415782066, -0.15048451461859677, 1.1511860374533793, 627116000000, 
-2.0966501790680887, -0.14650588814977525, 1.1317437815379996, 627150000000, 
-2.037528551609928, -0.1425492063044744, 1.1492969604733194, 627184000000, 
-1.9794907721624226, -0.13857650873104996, 1.1486216363300594, 627218000000, 
-1.922082612695955, -0.1346196438932816, 1.1318229305291474, 627252000000, 
-1.864168634035642, -0.13069015242826446, 1.1306091973213783, 627286000000, 
-1.806252441618093, -0.12676341693592633, 1.1355899125280586, 627320000000, 
-1.7494544598774548, -0.12285051213870699, 1.124648766256737, 627354000000, 
-1.6938497232608256, -0.11898995016114446, 1.10198743487517, 627388000000, 
-1.638691682604497, -0.11519190629016964, 1.0859095811074295, 627422000000, 
-1.5860414149755448, -0.11148787727239301, 1.0569441988753014, 627456000000, 
-1.5349967244803997, -0.10788720930003667, 1.0166172365107582, 627490000000, 
-1.4834890401290735, -0.10436928273726041, 1.0054154396712882, 627524000000, 
-1.4342675701838439, -0.10092907558864853, 0.987540728397606, 627558000000, 
-1.3880157228918275, -0.09759750621930756, 0.9360129140906466, 627592000000, 
-1.342691901056288, -0.09440610440032442, 0.8978006777211349, 627626000000, 
-1.294479475879875, -0.09123757426276778, 0.9170220295289461, 627660000000, 
-1.2441925950096968, -0.08797758336410617, 0.9656794710450126, 627694000000, 
-1.1973261619854507, -0.08468262661183384, 0.9524834695531791, 627728000000, 
-1.1526422351165584, -0.08146764915453202, 0.8975525479719453, 627762000000, 
-1.1096732752686589, -0.07841854457373515, 0.8593420266352139, 627796000000, 
-1.0682005735844466, -0.0754916979033124, 0.8278594267854092, 627830000000, 
-1.0280737536033868, -0.0726681456556805, 0.7999953104438436, 627864000000, 
-0.9893085182113107, -0.06993987782904727, 0.7734515232660385, 627898000000, 
-0.951972421544533, -0.0673053730494759, 0.7460914907730768, 627932000000, 
-0.916065779779502, -0.06476652564280118, 0.7180660630569483, 627966000000, 
-0.8815533485848323, -0.06232407513126767, 0.6903830682323601, 6280, 
-0.8483884510789178, -0.05997617180071372, 0.6635032225547469, 62834000000, 
-0.8165253518048664, -0.057719922099955315, 0.6375293801957436, 62868000000, 
-0.7856639996111248, -0.0555464301898846, 0.614945602625422, 628102000000, 
-0.7555717286700507, -0.05344258448195029, 0.5975845405374085, 628136000000, 
-0.7261655477004465, -0.0513944289222501, 0.5833181559870417, 628170000000, 
-0.6976506488585803, -0.04939945963852576, 0.5678537236418669, 628204000000, 
-0.670732113968521, -0.04747642837195775, 0.5434650365875053, 628238000000, 
-0.6456725059144349, -0.04565191942480815, 0.5095896367073075, 628272000000, 
-0.6217736630369628, -0.04393204107951816, 0.47998481305449164, 628306000000, 
-0.5985140092765704, -0.042295097373167286, 0.4623382023320051, 628340000000, 
-0.5757279903736481, -0.04070968835424278, 0.4514281633658306, 628374000000, 
-0.5534386353709915, -0.03916076106048076, 0.44191543044685205, 628408000000, 
-0.5323175429325593, -0.037660307823349844, 0.42559262197145875, 628442000000, 
-0.512667493507057, -0.03623093656104044, 0.39971707709739696, 628476000000, 
-0.4928633885251589, -0.034857897632534905, 0.3868054353666707, 628510000000, 
-0.47463443618019485, -0.033550413879481315, 0.3728731110476679, 628544000000, 
-0.4586064783826327, -0.03232503086999436, 0.33585206022084496, 628578000000, 
