imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, x, y, stamp, 
-0.0017805695533752441, -0.008875668048858643, -0.00035611391067504885, 0.0, 0.0, 2.8132771490163578e-08, 0.0, 0.0, 1700231894741238164, 
-0.014120697975158691, -0.0035721659660339355, -0.004625739168773086, -3.014179518000529e-12, -0.00015531033926923196, 1.9407462067128835e-08, 3.106204775486066e-06, 0.0, 1700231894792088913, 
-0.013369202613830566, 0.0013614892959594727, -0.007751157366662695, -9.107317477223283e-10, -0.0005397287689040114, 1.687387814386263e-06, 7.594864916746328e-06, -6.473992752433567e-13, 1700231894841335489, 
0.2203061580657959, 0.07696914672851562, 0.07841159941884622, -5.574007446871276e-08, 0.0037878859681755956, -1.4715351765343535e-05, -9.370121597633902e-05, 5.0731369856390464e-11, 1700231894902011414, 
0.5895600318908691, -0.07455575466156006, 0.27550182516912114, 0.0015982838400407028, 0.02935642771214546, 0.05444408480870628, 0.000723017981017898, 1.2261775383875725e-06, 1700231895000057186, 
0.999251127243042, 0.14544141292572021, 0.5576893737653199, 0.013052017525531506, 0.10346635255094941, 0.12614745957246698, 0.006975491651078261, 5.254470707578262e-05, 1700231895091042341, 
0.9235562086105347, 0.13775932788848877, 0.7014970389749319, 0.040141788006148024, 0.1966708611541424, 0.20410643330984637, 0.020953250253671007, 0.000406772713701053, 1700231895241266957, 
0.3083729147911072, -0.22419190406799316, 0.5486912896036804, 0.06646269135247937, 0.2586456763020638, 0.25696424661999673, 0.04132886716995543, 0.0014266368929449064, 1700231895351227621, 
0.10603976249694824, 0.28720521926879883, 0.3784021107788399, 0.13376028245894384, 0.3350652262610331, 0.39920669760799854, 0.07240389389606772, 0.004067843853380159, 1700231895451043765, 
-0.4741883873939514, 0.19657063484191895, 0.0463793184835532, 0.1707198773013631, 0.34625936476740404, 0.4930404623598912, 0.10597896737699652, 0.008505999817954992, 1700231895541427864, 
-0.39206641912460327, 0.02476811408996582, -0.1256398217910729, 0.171013733867797, 0.31534709097669295, 0.5423031915028399, 0.1369718266861897, 0.014399336471381748, 1700231895641464304, 
-0.2192865014076233, 0.27597659826278687, -0.1599348151064481, 0.20080783289633025, 0.3348268203942886, 0.5997364030153289, 0.17214442825307727, 0.0227350950966153, 1700231895751078084, 
-0.04230451583862305, 0.5607207417488098, -0.10926282565346077, 0.2612696940423445, 0.40104216863182207, 0.6514768632278266, 0.21410738352226072, 0.03502136386254341, 1700231895846142607, 
0.22798645496368408, 1.050065279006958, 0.03089524041096922, 0.4060761640836782, 0.5408316877226154, 0.7508364862895177, 0.26807608555149115, 0.05476626004523233, 1700231895946158806, 
0.21341532468795776, -0.10782331228256226, 0.0917769685897109, 0.25367586826356403, 0.3883791507922929, 0.653165515569169, 0.29862868080247273, 0.07038655820282244, 1700231896036479374, 
0.33544838428497314, 0.5681238174438477, 0.1898040111458632, 0.3023836534609729, 0.454115534988727, 0.665873836420239, 0.3378442080549003, 0.09155672145339873, 1700231896147033505, 
-0.22416752576828003, -0.40842604637145996, 0.01805240468271213, 0.16190214307698342, 0.2984910084279952, 0.5424020774684037, 0.36104688355371567, 0.10675950269373069, 1700231896247251452, 
0.19843482971191406, 0.41448861360549927, 0.09258927065677522, 0.20222265197337919, 0.37437452037490465, 0.5401613650706522, 0.3925805821263744, 0.12844098326112338, 1700231896345151894, 
0.05068051815032959, 0.3754635453224182, 0.07809092099881061, 0.21939711461686726, 0.4120988355020688, 0.5323895524955101, 0.4251679193863737, 0.15388197405754617, 1700231896437348157, 
0.1721515655517578, -0.373961865901947, 0.10797920734956482, 0.13348957182396762, 0.31750034841228447, 0.42043913492223034, 0.4471414966478925, 0.17330961732539987, 1700231896547041563, 
0.11433839797973633, 0.31705576181411743, 0.1144009576284331, 0.12818706527273283, 0.3966195509411757, 0.3231990580609194, 0.4786045031371272, 0.20124243635034697, 1700231896647056840, 
-0.5351832509040833, 0.003368079662322998, -0.13875048327880946, 0.09317566949478696, 0.3882386530203156, 0.2399958602007392, 0.5083370736887867, 0.22974897767428834, 1700231896741127840, 
-0.28324252367019653, -0.11672413349151611, -0.19471191882354183, 0.06603867740263845, 0.37705941483995264, 0.17514130347512832, 0.5368774265454391, 0.25874138276149083, 1700231896841245060, 
-0.6029163599014282, -0.213273823261261, -0.35296074710884384, 0.036949052858720445, 0.35916084869975173, 0.10287605954959975, 0.5651323958176098, 0.2880704253247518, 1700231896951037659, 
-0.14215481281280518, 0.17479878664016724, -0.2682661846619929, 0.04540063257372823, 0.374059913030587, 0.12137262238526961, 0.5933438930333021, 0.31908854625382693, 1700231897051039047, 
0.7111184597015381, 0.567879319190979, 0.11610321361808978, 0.07366346000908348, 0.42676677901636645, 0.17260823389033875, 0.6219599906259581, 0.35201252533805083, 1700231897141096576, 
-0.1610581874847412, 0.8069771528244019, 0.010699319437447882, 0.11243907279046866, 0.4727180913165353, 0.237856504449242, 0.6534823331992393, 0.3894301725296996, 1700231897241563566, 
-0.3954845070838928, 0.06908512115478516, -0.14834016436496716, 0.08526819624891857, 0.44749015709099854, 0.19054764646271094, 0.6826501321417416, 0.4247521220964717, 1700231897351269608, 
0.08968651294708252, -0.6092092394828796, -0.05856248277896996, 0.021861410877077703, 0.3922106219671583, 0.055738956705023324, 0.7069376735063058, 0.45428076495295044, 1700231897451046490, 
0.5365608930587769, 0.42366623878479004, 0.17454472453605258, 0.05313849765135031, 0.42597087087747176, 0.12474678736104308, 0.731905606875741, 0.4872991648853552, 1700231897541151949, 
