imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, x, y, stamp, 
-0.0824191332078329, -0.010292766199392516, -0.04120956660391645, -4.0624191983346336e-14, 9.802998286609423e-07, -4.144057847978782e-08, 0.0, 0.0, builtin_interfaces.msg.Time(sec=211, nanosec=773000000), 
-0.062432321861236005, 0.0012115541151518352, -0.053934120843755734, 5.1680467371134086e-11, -0.0009059785086179767, -5.704381161311427e-08, 2.279630137255198e-05, 0.0, builtin_interfaces.msg.Time(sec=211, nanosec=807000000), 
-0.1725882781047343, -0.021726148355895616, -0.12692544053263527, -2.3842437199393772e-08, -0.0019791252612228784, 1.2046957141389732e-05, 5.2246960827200864e-05, -3.4387109218128413e-12, builtin_interfaces.msg.Time(sec=211, nanosec=909000000), 
2.0980017591273388, -0.07282424643016933, 1.2471472975415183, 0.0023452601068947162, 0.00750609545963675, 0.3124474128401523, -0.0003885366092459421, -3.2820092796897595e-07, builtin_interfaces.msg.Time(sec=211, nanosec=977000000), 
-0.21803795143954252, 0.12122181618284433, 0.3421284863521489, 0.026714869547283495, 0.032270204627734146, 0.8278494002583361, -0.0005647561048949209, 6.565252952917562e-07, builtin_interfaces.msg.Time(sec=212, nanosec=11000000), 
-0.03371446137973967, 0.055697490459799076, 0.11247855823773159, 0.025178781640581828, 0.029420381691134204, 0.8558278374807565, 0.0006088194313184342, 5.2535788442495656e-05, builtin_interfaces.msg.Time(sec=212, nanosec=79000000), 
-0.05927620666131986, 0.04730801294794307, 0.009172045135756896, 0.030837131331031022, 0.03095316173733833, 0.9962514198939703, 0.0020004055581938486, 0.0001712109335178698, builtin_interfaces.msg.Time(sec=212, nanosec=147000000), 
1.3834510494696162, 0.03357504708278764, 0.861943142416181, 0.03802094045313577, 0.03944433015714208, 0.9639139592855126, 0.0032858704396612143, 0.00035506910295537904, builtin_interfaces.msg.Time(sec=212, nanosec=215000000), 
-0.042269510499591524, 0.01876699369495273, 0.3267919430933339, -0.02879778276813846, -0.02920819397693246, 0.9859487646131724, 0.00332704070227396, 0.0003968304391443635, builtin_interfaces.msg.Time(sec=212, nanosec=249000000), 
-0.04437045963118366, 0.041403571693300376, 0.10306025934840649, -0.004453832552230332, -0.004402919068404548, 1.0115635747636473, 0.00214251440715614, 0.00011508581532701434, builtin_interfaces.msg.Time(sec=212, nanosec=283000000), 
-0.011487026704035695, 0.03865363584854374, 0.03607049342519536, 0.02682344674605782, 0.026526071106048828, 1.0112106930129272, 0.002421117097039518, 0.00018335291528018965, builtin_interfaces.msg.Time(sec=212, nanosec=385000000), 
0.06592981083658046, 0.1325732162629577, 0.06310218354339447, 0.07754058902124134, 0.07696020162945308, 1.0075413964555693, 0.004512403183393667, 0.0008772611803253699, builtin_interfaces.msg.Time(sec=212, nanosec=419000000), 
0.0724351402036186, 0.18524465118533612, 0.09345349201494597, 0.11503489854486136, 0.114459367611807, 1.0050282553980754, 0.008661282501074436, 0.00251382294295952, builtin_interfaces.msg.Time(sec=212, nanosec=487000000), 
-0.08247613803932213, 0.12000962365649179, 0.025141942715491167, 0.10061397206984787, 0.10057550908406762, 1.000382428944487, 0.013584961268338113, 0.004767832026349704, builtin_interfaces.msg.Time(sec=212, nanosec=555000000), 
-0.045021010530351, 0.10061142869943235, 0.0156762973672089, 0.10376308759881173, 0.10391050527963834, 0.9985813014725519, 0.01808777076378402, 0.007102895451893591, builtin_interfaces.msg.Time(sec=212, nanosec=589000000), 
-0.04016609051403383, 0.15341906493033078, 0.018350159729957433, 0.13412300594633994, 0.13397056067235572, 1.0011379012912922, 0.023037832137514577, 0.009982767711205843, builtin_interfaces.msg.Time(sec=212, nanosec=657000000), 
-0.127726311269928, 0.17345230997510744, -0.020517305823200598, 0.1519233181736822, 0.1514888201668994, 1.0028681852977936, 0.028915151127647157, 0.01381390140219847, builtin_interfaces.msg.Time(sec=212, nanosec=725000000), 
-0.03662310265165301, 0.1466868840733553, 0.025328869657668708, 0.15845839030914421, 0.1577048980561576, 1.0047778620846533, 0.03513298404845238, 0.018332919009842585, builtin_interfaces.msg.Time(sec=212, nanosec=759000000), 
-0.042218694941011936, 0.15139391563166799, 0.05333626463322197, 0.16124347618652038, 0.16075391610686596, 1.003045400644106, 0.04128968180205165, 0.023299127781989448, builtin_interfaces.msg.Time(sec=212, nanosec=793000000), 
-0.05526267710505, 0.17591374844955954, 0.06697006049017477, 0.16985644099542235, 0.16941550276777442, 1.002602702943026, 0.04736435672360717, 0.028722070820215762, builtin_interfaces.msg.Time(sec=212, nanosec=895000000), 
-0.062171862927734765, 0.2166728978727221, 0.07969124529080984, 0.1900877025702718, 0.18930432504043818, 1.0041381913998335, 0.05360544539621319, 0.03487817576114986, builtin_interfaces.msg.Time(sec=212, nanosec=929000000), 
-0.06519782460462391, 0.1793852878110669, 0.10033503477733523, 0.18626186412441614, 0.18594365382472017, 1.0017113264860114, 0.05990325350001877, 0.041758121517966214, builtin_interfaces.msg.Time(sec=212, nanosec=963000000), 
-0.061820759277549125, 0.19901042194185203, 0.11973230172999738, 0.18798104954024916, 0.1878004288907544, 1.0009617691001111, 0.06578917296524453, 0.04887201895033028, builtin_interfaces.msg.Time(sec=212, nanosec=997000000), 
-0.04423241330582591, 0.21386185069158922, 0.15071189438869403, 0.19785455318552225, 0.19775089862203812, 1.0005241673449092, 0.07144431669042545, 0.05644548488011757, builtin_interfaces.msg.Time(sec=213, nanosec=99000000), 
